TIME	INTERVALO	Abertura Valvula
419.000	1.000	98.388802
420.000	1.000	97.955635
421.000	1.000	97.776306
422.000	1.000	97.559479
423.000	1.000	97.559479
424.000	1.000	97.328308
425.000	1.000	97.241089
426.000	1.000	97.117889
427.000	1.000	97.117889
428.000	1.000	96.726036
429.000	1.000	96.726036
430.000	1.000	96.545410
431.000	1.000	96.545410
432.000	1.000	96.545410
433.000	1.000	96.454430
434.000	1.000	95.536423
435.000	1.000	94.605431
436.000	1.000	94.605431
437.000	1.000	94.494568
438.000	1.000	93.264435
439.000	1.000	93.264435
440.000	1.000	93.645645
441.000	1.000	93.645645
442.000	1.000	92.401527
443.000	1.000	92.673492
444.000	1.000	92.673492
445.000	1.000	92.673492
446.000	1.000	90.336357
447.000	1.000	90.334068
448.000	1.000	90.334068
449.000	1.000	89.889839
450.000	1.000	89.412010
451.000	1.000	89.412010
452.000	1.000	89.412010
453.000	1.000	89.412010
454.000	1.000	89.412010
455.000	1.000	89.412010
456.000	1.000	89.412010
457.000	1.000	89.412010
458.000	1.000	89.412010
459.000	1.000	89.412010
460.000	1.000	89.412010
461.000	1.000	88.918091
462.000	1.000	88.169075
463.000	1.000	87.129761
464.000	1.000	87.129761
465.000	1.000	87.129761
466.000	1.000	86.618469
467.000	1.000	86.618469
468.000	1.000	85.461067
469.000	1.000	85.461067
470.000	1.000	84.511459
471.000	1.000	84.511459
472.000	1.000	84.247574
473.000	1.000	84.247574
474.000	1.000	82.019791
475.000	1.000	80.559502
476.000	1.000	80.559502
477.000	1.000	80.559502
478.000	1.000	80.559502
479.000	1.000	80.398247
480.000	1.000	80.398247
481.000	1.000	80.398247
482.000	1.000	80.398247
483.000	1.000	80.398247
484.000	1.000	76.314522
485.000	1.000	76.314522
486.000	1.000	74.393951
487.000	1.000	72.886909
488.000	1.000	72.886909
489.000	1.000	72.352966
490.000	1.000	72.352966
491.000	1.000	71.187637
492.000	1.000	69.763138
493.000	1.000	69.763138
494.000	1.000	68.920372
495.000	1.000	67.375946
496.000	1.000	66.903618
497.000	1.000	66.903618
498.000	1.000	65.874161
499.000	1.000	65.874161
500.000	1.000	63.863468
501.000	1.000	62.926056
502.000	1.000	62.926056
503.000	1.000	62.608372
504.000	1.000	60.625710
